,query_string_n,count,amount,verif_match,audit_type,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
774,DR E HOLLIDAY AND PARTNERS,100,5273156.0,Named Doctor,1,HOLLIDAY PARTNERS LIMITED LIABILITY PARTNERSHIP,BY DR E LIMITED,HOLLIDAYS LIMITED,14.194248000000002,13.949942000000002,13.542582000000001,31.0,20.0,16.0
775,DR E J ALBRIGHT AND PARTNERS,63,5369923.0,Named Doctor,1,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,DR E J POLLARD LIMITED,16.569315,16.569315,15.372929999999998,9.0,8.0,17.0
776,DR E KATAY AND PARTNERS,104,11192150.0,Named Doctor,1,BY DR E LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,13.949942000000002,13.374683,13.374683,19.0,4.0,7.0
777,DR E KONG AND C EVBUOMWAN,69,5304345.0,Named Doctor,1,C A E,E C A,BY DR E LIMITED,13.956128,13.956128,13.949942000000002,21.0,20.0,21.0
778,DR E LEWIS,100,5763706.0,Named Doctor,1,DR WILLIAM LEWIS,E LEWIS LIMITED,BY DR E LIMITED,15.603883999999999,14.588047,13.949942000000002,7.0,11.0,8.0
779,DR E M BRADLEY,21,572188.0,Named Doctor,1,DR E M RAGLAN LIMITED,M AND M BRADLEY LIMITED,BY DR E LIMITED,15.574116,14.976704000000002,13.949942000000002,11.0,13.0,11.0
780,DR E M ROBINSKA,56,3445023.0,Named Doctor,1,DR E M RAGLAN LIMITED,BY DR E LIMITED,DR M EHSAN,15.574116,13.949942000000002,12.9996605,12.0,12.0,9.0
781,DR E OBYRNE AND PTR,66,2444749.0,Named Doctor,1,DEBORAH OBYRNE LIMITED,OBYRNE AND CO LIMITED,OBYRNE AND PATRICK LIMITED,14.158697,14.158697,14.158697,12.0,14.0,17.0
782,DR E P TATTERSALL AND PARTNERS,158,6391815.0,Named Doctor,1,DR PAL P AND PARTNER,P E E P,DR H P BORSE AND PARTNER,17.243181,15.556566,15.519194,13.0,24.0,10.0
783,DR E R MASCARENHAS AND PARTNERS,191,7749280.0,Named Doctor,1,DR R KAPUR AND PARTNERS,MASCARENHAS LIMITED,R E PHILLIPS AND PARTNERS LIMITED,16.982843,16.180813,14.472176999999999,11.0,17.0,21.0
784,DR E STANGER AND PARTNERS,62,4089726.0,Named Doctor,1,STANGER LIMITED,STANGER TRUST,BY DR E LIMITED,15.22763,15.22763,13.949942000000002,15.0,16.0,20.0
785,DR E W COWAN AND PARTNERS,99,9494513.0,Named Doctor,1,COWAN AND PARTNERS LIMITED,DR W E FICKLING LIMITED,DR ANDREW COWAN LIMITED,16.668233999999998,16.42376,16.230946,15.0,17.0,15.0
786,DR E WADDY AND PARTNERS,53,4220355.0,Named Doctor,1,DES WADDY LIMITED,WADDI GROUP LIMITED,WADDY ENTERPRISES LIMITED,14.310076,14.310076,14.310076,13.0,18.0,21.0
787,DR E WILSON AND PARTNER,16,557069.0,Named Doctor,1,DR DANIEL WILSON,BY DR E LIMITED,WILSON PARTNERS LIMITED,15.336316,13.949942000000002,13.745222,17.0,18.0,17.0
788,DR EAGLE C D AND PARTNERS,40,3123057.0,Named Doctor,1,DR C D SUTTON LIMITED,EAGLE PARTNERS LIMITED,C D M PARTNERS LIMITED,15.209767999999999,14.2339,13.936832,18.0,18.0,20.0
789,DR EASTAUGH AND PARTNERS,43,1821966.0,Named Doctor,1,EASTAUGH LIMITED,EASTAUGH CONSULTANCY LIMITED,EASTAUGH ETC LIMITED,16.353813,14.310076,14.310076,13.0,19.0,13.0
790,DR ECCLES AND PARTNERS,79,3641130.0,Named Doctor,1,ECCLES PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,16.679827,13.374683,13.374683,15.0,6.0,5.0
791,DR ECCLES D AND PARTNERS,47,3027029.0,Named Doctor,1,ECCLES PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,16.679827,13.374683,13.374683,17.0,8.0,6.0
792,DR ECCLESTON D B AND PARTNERS,104,12688020.0,Named Doctor,1,D B M AND PARTNERS LIMITED,D B ROBERTS AND PARTNERS LIMITED,B AND DR D LAZAROV SERVICES LIMITED,14.224573000000001,14.224573000000001,14.08889,21.0,21.0,29.0
793,DR EDGERLEY AND PARTNERS,102,6113103.0,Named Doctor,1,EDGERLEY SIMPSON HOWE AND PARTNERS LIMITED,EDGERLEY MEDICAL LIMITED,DR A AZAM AND PARTNERS,16.16227,14.310076,13.374683,24.0,16.0,8.0
794,DR EDWARDS AND PARTNER,109,6386095.0,Named Doctor,1,DR EDWARD MYERS,DR EDWARDS LIMITED,EDWARD PARTNERS LIMITED,15.116132,15.116132,13.525038,11.0,9.0,16.0
795,DR EDWARDSANDPARTNERS WIDNES,198,11510565.0,Named Doctor,1,WIDNES ACADEMY,WIDNES BRANCH,WIDNES ENT,12.238928999999999,12.238928999999999,12.238928999999999,22.0,21.0,21.0
796,DR EDWARDSANDPARTNERS WIRRAL,30,1179980.0,Named Doctor,1,BESOM IN WIRRAL,BESOM IN WIRRAL,BROOK WIRRAL,10.316972,10.316972,10.316972,18.0,18.0,20.0
797,DR EFYLEE AND PARTNER,47,1738066.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,7.0,6.0,7.0
798,DR EJ MCQUILLAN,3,48954.0,Named Doctor,1,EJ,A MCQUILLAN INSPECTION LIMITED,A MCQUILLAN MAINTENANCE LIMITED,13.295122000000001,12.428322999999999,12.428322999999999,13.0,24.0,25.0
799,DR EKO,3,109056.0,Named Doctor,1,EKO IT LIMITED,EKO LIMITED,EKO TRUST,13.105042999999998,13.105042999999998,13.105042999999998,13.0,10.0,8.0
800,DR EL SAFY,50,974069.0,Named Doctor,1,SAFI CHILD,SAFI CHILD,SAFI LIMITED,13.524536999999999,13.524536999999999,13.524536999999999,10.0,10.0,11.0
801,DR ELAPATHA N,3,53223.0,Named Doctor,1,DR A N PATEL LIMITED,DR A N SULKE LIMITED,DR HANTSDOC N OOH,12.493602000000001,12.493602000000001,12.493602000000001,13.0,16.0,12.0
802,DR ELIAS AND PARTNERS,117,7724792.0,Named Doctor,1,ELIAS PROPERTY PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.129929,13.374683,13.374683,19.0,5.0,5.0
803,DR ESMAILJI,6,224561.0,Named Doctor,1,DR AND DR LIMITED,DR ANDERSON AND DR AHMED,DR DEGUN AND DR MACAULAY,10.106287,9.319778,9.319778,12.0,18.0,17.0
804,DR EVANS AND PARTNER,85,3668253.0,Named Doctor,1,EVANS AND PARTNERS LIMITED,EVANS PARTNERS LIMITED,ROBIN EVANS AND PARTNERS,14.096584,14.096584,14.096584,12.0,15.0,6.0
805,DR EVE AND PARTNERS,78,5201307.0,Named Doctor,1,DR EVE LIMITED,DR HELEN EVE HOWELLS LIMITED,DR A AZAM AND PARTNERS,17.496246,13.997667999999999,13.374683,10.0,20.0,6.0
806,DR EVERINGTON AND PARTNERS,22,1583191.0,Named Doctor,1,EVERINGTON LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,17.102184,13.374683,13.374683,13.0,10.0,10.0
807,DR EWART AND PARTNERS,32,1532757.0,Named Doctor,1,EWART PARSONSLIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,13.697536,13.374683,13.374683,15.0,5.0,5.0
808,DR EXELEY AND PTRS,45,3112866.0,Named Doctor,1,DR INGRAM AND PTRS,JORDAN PTRS LIMITED,PTRS HOLDINGS LIMITED,21.96968,14.486792999999999,14.486792999999999,6.0,17.0,18.0
809,DR EYRE AND PARTNERS,110,10485699.0,Named Doctor,1,DR FRANCIS EYRE LIMITED,EYRES AND EYRES COMMUNICATIONS LIMITED,DR A AZAM AND PARTNERS,16.333729,13.565836,13.374683,18.0,28.0,6.0
810,DR F J AHMAD,7,217560.0,Named Doctor,1,DR AHMAD AND PTNRS,DR W AHMAD LIMITED,DR AHMAD KARIM MIRZA LIMITED,18.619884,16.551448999999998,14.896622,13.0,11.0,20.0
811,DR F J HALL,187,12182144.0,Named Doctor,1,DR F KHAN,J AND F,F F AND J LIMITED,14.406560999999998,13.929775,13.303676999999999,4.0,9.0,13.0
812,DR F KOHI AND PARTNERS,76,8516821.0,Named Doctor,1,KOHI CONSULTANCY LIMITED,KOHI DEVELOPMENTS LIMITED,KOHI KART LIMITED,14.486792999999999,14.486792999999999,14.486792999999999,19.0,22.0,15.0
813,DR F LASMAN AND PARTNERS,249,9577816.0,Named Doctor,1,LASMAN INDUSTRIES LIMITED,DR F KHAN,DR A AZAM AND PARTNERS,15.861232999999999,14.406560999999998,13.374683,20.0,17.0,5.0
814,DR F MCCLOGHRY AND PARTNERS,53,3585409.0,Named Doctor,1,DR F KHAN,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.406560999999998,13.374683,13.374683,19.0,10.0,10.0
815,DR F MORAN AND PARTNERS,67,4853250.0,Named Doctor,1,MORAN PARTNERS LIMITED,DR F KHAN,J F MORAN CONTRACTORS LIMITED,16.585115,14.406560999999998,14.094269,17.0,16.0,18.0
816,DR F NAZ,5,151067.0,Named Doctor,1,DR F KHAN,DR F ABDOLLAHIAN LIMITED,DR F APALOO LIMITED,14.406560999999998,12.806172,12.806172,3.0,18.0,13.0
817,DR F R PRZYSLO AND PTRS,65,4449580.0,Named Doctor,1,DR INGRAM AND PTRS,DR F R LLOYD JONES LIMITED,JORDAN PTRS LIMITED,21.96968,14.646095,14.486792999999999,10.0,16.0,18.0
818,DR F S ALLEN AND PARTNERS,231,8310369.0,Named Doctor,1,DR S BRINKSMAN AND PARTNERS,DR G S RANDHAWA AND PARTNER,DR O S SINGH AND PARTNER,16.812948000000002,15.131975,15.131975,9.0,9.0,7.0
819,DR F W MOUJAES AND DR M A MANNAN,91,3444219.0,Named Doctor,1,DR MOUJAES,DR F M RAHMAN LIMITED,DR F KHAN,34.612114,21.926026999999998,21.88945,22.0,21.0,25.0
820,DR F W THOMASON AND DR J E MARTIN,62,4100349.0,Named Doctor,1,DR JOSEPH MARTIN,DR MARTIN BADER,DR MARTIN RYAN,22.436691,22.436691,22.436691,21.0,24.0,23.0
821,DR FA MAYLAND AND PARTNERS,62,2806000.0,Named Doctor,1,DR AND FA FORD TRANSPORT LIMITED,FA,FA,14.344751,13.928476000000002,13.928476000000002,21.0,24.0,24.0
822,DR FAHMY M M E AND PARTNER,17,511540.0,Named Doctor,1,E M TURCAN AND PARTNERS,DR E M RAGLAN LIMITED,DR S M CHEN AND PARTNER,20.793789,19.987743,19.527515,13.0,16.0,8.0
823,DR FAIRLIE AND PARTNERS,101,4738515.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,6.0,6.0
824,DR FALLS R D AND DR HUSSAIN T M,102,2556736.0,Named Doctor,1,DR A HUSSAIN,DR HUSSAIN,DR AH HUSSAIN,28.700053999999998,28.700053999999998,25.113407000000002,19.0,21.0,19.0
825,DR FARRELL AND PARTNERS,260,8522512.0,Named Doctor,1,DR RICHARD FARRELL,FARRELL AND PARTNERS LIMITED,TERRY FARRELL AND PARTNERS LIMITED,17.955727,16.364632,14.546726999999999,13.0,11.0,12.0
826,DR FASIHUDDIN AHMED,1,33059.0,Named Doctor,1,DR ANDERSON AND DR AHMED,DR AHMED AND PARTNERS,DR AHMED ONCOLOGY LIMITED,17.959335,17.202131,15.29119,13.0,14.0,17.0
827,DR FAUSAT AKINSANYA TA CAIRNGALL MP G83005,5,356210.0,Named Doctor,1,CAIRNGALL FARMS,CAIRNGALL MEDICAL PRACTICE,DR MP CLARKES PRACTICE,17.102184,14.964922,14.837631,32.0,33.0,34.0
828,DR FEARNS AND PARTNERS,39,3258297.0,Named Doctor,1,FEARN AMENITIES,FEARN LIMITED,FEARN TRUST,13.579498000000001,13.579498000000001,13.579498000000001,12.0,14.0,15.0
829,DR FELLERMAN S M,20,728059.0,Named Doctor,1,DR S FELLERMAN LIMITED,DR S PHILLIPS AND DR M PATEL PRACTICE,DR M S SMITH BEQUEST,25.674908,14.927088000000001,14.831942000000002,8.0,27.0,16.0
830,DR FERDINAND CRUZ,2,94102.0,Named Doctor,1,CRUZ AND CRUZ LIMITED,FERDINAND LIMITED,CRUZ LIMITED,15.2036085,14.525209,12.864752000000001,16.0,10.0,15.0
831,DR FERNANDES M A A,8,368383.0,Named Doctor,1,B M FERNANDES LIMITED,M FERNANDES ENTERPRISE LIMITED,FERNAND LP,15.542276000000001,15.542276000000001,13.677045999999999,9.0,19.0,10.0
832,DR FERNANDES N B AND PARTNERS,42,2923120.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,B M FERNANDES LIMITED,B N A,17.730892,16.064838,14.487132999999998,11.0,17.0,24.0
833,DR FERRIMAN AND PARTNERS,55,4318061.0,Named Doctor,1,EMMA FERRIMAN LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.861232999999999,13.374683,13.374683,14.0,7.0,7.0
834,DR FG COLLINS AND PARTNERS,81,6166619.0,Named Doctor,1,DR COLLINS AND CARRAGHER,DR COLLINS LIMITED,COLLINS PARTNERS LIMITED,16.432903,16.432903,14.841807999999999,9.0,13.0,18.0
835,DR FH WATERS AND PARTNERS,84,2959243.0,Named Doctor,1,FH CAPITAL PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.674216,13.374683,13.374683,19.0,7.0,7.0
836,DR FIELDER AND PARTNERS,80,4292779.0,Named Doctor,1,FIELDER LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.235126500000002,13.374683,13.374683,13.0,7.0,6.0
837,DR FIELDS AND PARTNERS,19,546940.0,Named Doctor,1,DR CHRISTINE FIELD,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.758215,13.374683,13.374683,15.0,6.0,5.0
838,DR FILLETTI AND PARTNERS,117,2905933.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,8.0,7.0,7.0
839,DR FINDLAY AND PARTNERS,52,2430047.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,7.0,7.0
840,DR FJ LAWRENSON AND PARTNERS,87,3720033.0,Named Doctor,1,FJ AND PARTNERS LIMITED,LAWRENSONS LIMITED,LAWRENSON ASSOCIATES LIMITED,16.790312,15.303212,13.390769,21.0,17.0,22.0
841,DR FJ MCKENZIE EAST FINCHLEY,92,2436038.0,Named Doctor,1,EAST FINCHLEY ARTS,DR MCKENZIE EVANS LIMITED,EAST FINCHLEY CATERING LIMITED,16.173529000000002,15.528048000000002,14.376852,20.0,12.0,24.0
842,DR FJ MCKENZIE OLDHAM,13,931703.0,Named Doctor,1,DR MCKENZIE EVANS LIMITED,FJ AND A LIMITED,FJ IT LIMITED,15.528048000000002,12.455021,12.455021,15.0,17.0,16.0
843,DR FLAXMAN PA AND PARTNERS,42,3721553.0,Named Doctor,1,FLAXMAN PARTNERS LIMITED,PA PARTNERS LIMITED,FLAXMAN LIMITED,18.936424,15.021326,14.907637,15.0,20.0,16.0
844,DR FLINT,1,75901.0,Named Doctor,1,FLINT AND FLINT LIMITED,FLINT AND FLINT CHESHIRE LIMITED,FLINT IT LIMITED,13.753316,12.6829815,11.637566,17.0,26.0,12.0
845,DR FLOOD AND PARTNERS,48,3177996.0,Named Doctor,1,FLOOD AND PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,16.459630999999998,13.374683,13.374683,11.0,6.0,4.0
846,DR FM GAVIN AND PARTNERS,150,8101703.0,Named Doctor,1,DR GAVIN HAREWOOD,DR GAVIN BOODOO LIMITED,FM PARTNERS LIMITED,17.649784,15.689114000000002,14.479735999999999,13.0,15.0,17.0
847,DR FM KILLICK AND PARTNERS,103,5303887.0,Named Doctor,1,FM PARTNERS LIMITED,KILLICKS LIMITED,DR A AZAM AND PARTNERS,14.479735999999999,14.301385999999999,13.374683,21.0,17.0,9.0
848,DR FORD AND PARTNERS,73,4014597.0,Named Doctor,1,FORD AND PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.898689000000001,13.374683,13.374683,11.0,6.0,4.0
849,DR FORD M R,3,84367.0,Named Doctor,1,M FORD LIMITED,DR A R LIMITED,DR AKHTAR R,14.523664000000002,13.213395000000002,13.213395000000002,8.0,9.0,6.0
850,DR FORREST M AND PARTNERS,74,6867424.0,Named Doctor,1,DR FORREST UK LIMITED,DR S M CHEN AND PARTNER,M FORRESTER LANDSCAPES LIMITED,15.50409,15.113888000000001,13.756383,12.0,10.0,18.0
851,DR FORSYTHE AND DR GOULD,243,6663676.0,Named Doctor,1,DR GOULD AND ALTIMMAN,DR PJ GOULDING LIMITED,DR AND DR LIMITED,25.21694,22.415653,20.212574,15.0,18.0,15.0
852,DR FOSTER,25,1511818.0,Named Doctor,1,DR FOSTER LIMITED,DR FOSTER CONSULTING LIMITED,DR FOSTER HEALTHCARE LIMITED,16.090681,14.303207999999998,14.303207999999998,8.0,19.0,19.0
853,DR FOSTER AND PARTNERS,76,7008258.0,Named Doctor,1,DR FOSTER LIMITED,FOSTER PARTNERS LIMITED,DR FOSTER CONSULTING LIMITED,16.090681,14.499585999999999,14.303207999999998,10.0,15.0,16.0
854,DR FOSTER INTELLIGENCE,63,3932720.0,Named Doctor,1,DR FOSTER INTELLIGENCE LIMITED,DR FOSTER LIMITED,DR INTELLIGENCE LIMITED,21.352947,16.090681,15.413634,8.0,10.0,14.0
855,DR FOSTER INTELLIGENCE LIMITED,31,1454874.0,Named Doctor,1,DR FOSTER INTELLIGENCE LIMITED,DR FOSTER LIMITED,DR INTELLIGENCE LIMITED,21.460179999999998,16.211313,15.534267000000002,0.0,13.0,7.0
856,DR FOSTER LIMITED,215,12273969.0,Named Doctor,1,DR FOSTER LIMITED,DR FOSTER CONSULTING LIMITED,DR FOSTER HEALTHCARE LIMITED,16.211313,14.41044,14.41044,0.0,11.0,11.0
857,DR FOULDS M AND PARTNER,91,7135445.0,Named Doctor,1,M A FOULDS LIMITED,DR S M CHEN AND PARTNER,FOULDS ASSOCIATION,18.157372,15.113888000000001,14.445907,14.0,8.0,14.0
858,DR FREEMAN AND PARTNERS,71,11921210.0,Named Doctor,1,DR L FREEMAN AND PARTNERS,DR FREEMAN LIMITED,FREEMAN AND PARTNERS LIMITED,20.436885999999998,17.09909,15.507995999999999,2.0,10.0,11.0
859,DR FRIEDMANN,61,1806516.0,Named Doctor,1,FRIEDMANN DERMATOLOGY LIMITED,BLAKE FRIEDMANN LITERARY AGENCY LIMITED,DR AND DR LIMITED,15.320858,12.257275,10.106287,23.0,29.0,12.0
860,DR FRITH AND PTRS,49,4444392.0,Named Doctor,1,DR INGRAM AND PTRS,JORDAN PTRS LIMITED,PTRS HOLDINGS LIMITED,21.96968,14.486792999999999,14.486792999999999,6.0,16.0,17.0
861,DR FRY J M,4,138364.0,Named Doctor,1,M J FRY AGRICULTURAL ENGINEERING LIMITED,DR J M BAMFORD LIMITED,DR J M BEER LIMITED,14.63729,14.612667000000002,14.612667000000002,33.0,15.0,13.0
862,DR FURN DAVIES AND PARTNERS,191,5903866.0,Named Doctor,1,FURN LIMITED,DR CHEN AND DAVIS,BREDO FURNES LIMITED,15.563266,15.135206,13.618323,19.0,16.0,19.0
863,DR FYUNAS,12,766270.0,Named Doctor,1,DR AND DR LIMITED,DR ANDERSON AND DR AHMED,DR DEGUN AND DR MACAULAY,10.106287,9.319778,9.319778,14.0,19.0,18.0
864,DR G A CARANCI AND PARTNERS,80,3201549.0,Named Doctor,1,CARANCI LIMITED,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,18.126503,17.252281,15.527384,17.0,9.0,9.0
865,DR G A LEES AND PARTNERS,235,11308009.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,DR LEES CHARITY,24.140984,15.527384,15.232470999999999,2.0,10.0,14.0
866,DR G A ROBB AND PARTNER,72,3708737.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,DR A AZAM AND PARTNERS,17.252281,15.527384,13.374683,7.0,8.0,7.0
867,DR G AHMED,13,479759.0,Named Doctor,1,DR ANDERSON AND DR AHMED,DR AHMED AND PARTNERS,DR AHMED ONCOLOGY LIMITED,17.959335,17.202131,15.29119,15.0,15.0,17.0
868,DR G ARUNA PRASAD,53,2142661.0,Named Doctor,1,DR PRASAD LIMITED,DR K PRASADS PRACTICE,DR M PRASADS PRACTICE,20.027256,17.802479,17.802479,12.0,11.0,11.0
869,DR G BALACHANDRAN,89,1998438.0,Named Doctor,1,BALACHANDRAN TAMIL SCHOOL,M BALACHANDRAN CONTRACTING SERVICES LIMITED,DR G A JOHNSTON LIMITED,15.320858,12.257275,12.014992,18.0,33.0,16.0
870,DR G BROWN AND PARTNERS,57,2600826.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,A AND G BROWN LIMITED,17.252281,15.527384,13.420314999999999,5.0,9.0,15.0
871,DR G C MCANSH,51,1629022.0,Named Doctor,1,DR C G BARRATT LIMITED,DR G C MULLER LIMITED,DR C A LIMITED,15.409924499999999,15.409924499999999,13.227867000000002,16.0,13.0,9.0
872,DR G CUNLIFFE AND PARTNERS,99,8618132.0,Named Doctor,1,DR CHRISTINA CUNLIFFE LIMITED,DR FRANK CUNLIFFE LIMITED,DR G LEES AND PARTNERS,17.50179,17.50179,17.252281,19.0,15.0,7.0
873,DR G D COOK AND PARTNERS,54,5111028.0,Named Doctor,1,DR G LEES AND PARTNERS,DR COOKS LIMITED,DR RALPH COOKE,17.252281,15.773175,15.773175,6.0,15.0,17.0
874,DR G D SANDERSON AND PARTNERS,104,4493968.0,Named Doctor,1,D G SANDERSON GROUNDWORKS LIMITED,DR G LEES AND PARTNERS,G SANDERSON LIMITED,17.6278,17.252281,16.25026,19.0,9.0,15.0
875,DR G ENNIS,204,5063954.0,Named Doctor,1,ENNIES LIMITED,DALE ENNIS LIMITED,ENNI INVESTMENTS LIMITED,14.001356,12.251605999999999,12.251605999999999,12.0,11.0,20.0
876,DR G FELLOWS AND PARTNERS,87,5446424.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,G FELLOWS JOINERY LIMITED,17.252281,15.527384,14.635098999999999,5.0,10.0,16.0
877,DR G INGRAMS AND PARTNERS,34,941781.0,Named Doctor,1,DR INGRAM AND PTRS,DR G LEES AND PARTNERS,DR THOMAS INGRAM LIMITED,17.795444,17.252281,15.818594000000001,7.0,6.0,17.0
878,DR G J BARRON AND PARTNERS,77,5562162.0,Named Doctor,1,DR G LEES AND PARTNERS,BARRON AND PARTNERS LIMITED,DR J BARRELL AND PARTNERS,17.252281,16.857075,16.569315,8.0,15.0,5.0
879,DR G J C BRUCE AND PARTNERS,70,6383688.0,Named Doctor,1,DR G LEES AND PARTNERS,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,17.252281,16.569315,16.569315,9.0,8.0,8.0
880,DR G JEELANI AND PARTNER,84,2948230.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,JEELANI ENTERPRISES LIMITED,17.252281,15.527384,15.320858,6.0,9.0,21.0
881,DR G K JOLLY AND PARTNERS,95,8614706.0,Named Doctor,1,DR G LEES AND PARTNERS,D G JOLLY,DR G K RADJA LIMITED,17.252281,16.030293,15.838170999999999,7.0,16.0,15.0
882,DR G KALKAT,64,3148426.0,Named Doctor,1,DR GS KALKATS PRACTICE,RAVINDER KALKAT LIMITED,GS KALKAT CONSTRUCTION LIMITED,19.954142,14.964922,13.302507,11.0,16.0,25.0
883,DR G KALSI,3,79210.0,Named Doctor,1,KALSI AND KALSI LIMITED,KALSI LIMITED,KALSYS LIMITED,16.485394,13.949351,13.949351,16.0,12.0,12.0
884,DR G KHAJA AND DR G PALREDDY,54,1526453.0,Named Doctor,1,DR G A JOHNSTON LIMITED,DR G ATTILAKOS LIMITED,DR G BIANT LIMITED,24.029984,24.029984,24.029984,18.0,19.0,18.0
885,DR G KUGAPALA AND PARTNER,56,1516038.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,DR A AZAM AND PARTNERS,17.252281,15.527384,13.374683,9.0,7.0,8.0
886,DR G KUKATHASAN AND PARTNER,51,1455892.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,DR A AZAM AND PARTNERS,17.252281,15.527384,13.374683,10.0,7.0,10.0
887,DR G L MECHIE AND PARTNERS,55,3552804.0,Named Doctor,1,MECHIS LIMITED,DR L FREEMAN AND PARTNERS,DR G LEES AND PARTNERS,18.126503,17.562044,17.252281,18.0,8.0,6.0
888,DR G M BHAT AND PARTNER,5,171686.0,Named Doctor,1,DR BHAT V PRACTICE,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,18.554857000000002,17.252281,15.527384,12.0,7.0,7.0
889,DR G M CRUIKSHANK AND PARTNERS,228,12164017.0,Named Doctor,1,DR G LEES AND PARTNERS,GAND M C CRUIKSHANK,DR G S RANDHAWA AND PARTNER,17.252281,17.009426,15.527384,11.0,19.0,9.0
890,DR G M E HAMAD,20,560970.0,Named Doctor,1,A E G M,M E G,F E M A G,18.01744,18.01744,16.015928,10.0,10.0,9.0
891,DR G MACKINNON AND PARTNERS,22,1049197.0,Named Doctor,1,MACKINNON PARTNERS LIMITED,DR G LEES AND PARTNERS,S G MACKINNON LIMITED,17.32638,17.252281,15.527704,17.0,9.0,12.0
892,DR G MCLARDY AND PARTNERS,22,794229.0,Named Doctor,1,DR G LEES AND PARTNERS,MCLARDIE CONSULTANCY LIMITED,DR G S RANDHAWA AND PARTNER,17.252281,15.861232999999999,15.527384,6.0,23.0,9.0
893,DR G P MORGANS AND PTRS,74,6994534.0,Named Doctor,1,DR INGRAM AND PTRS,G P MORGAN ACCOUNTING LIMITED,DR G P DOOLITTLE LIMITED,21.96968,16.094385,15.632655999999999,9.0,18.0,15.0
894,DR G PICKAVANCE AND PARTNERS,60,2456191.0,Named Doctor,1,DR G LEES AND PARTNERS,DR G S RANDHAWA AND PARTNER,CRAIG PICKAVANCE LIMITED,17.252281,15.527384,14.310076,10.0,11.0,13.0
895,DR G R ARORA AND DR P ARORA,15,527576.0,Named Doctor,1,DR A ARORAS PRACTICE,DR ARORA RK,DR ARORA ENTERPRISES LIMITED,37.945168,37.945168,33.729935,16.0,17.0,20.0
896,DR G R BHORCHI,32,1022908.0,Named Doctor,1,DR G R SMITH LIMITED,DR G R STRUTHERS LIMITED,DR G R WILLIAMS LIMITED,15.398347,15.398347,15.398347,11.0,14.0,15.0
897,DR G R COOPER AND PARTNERS,50,4459896.0,Named Doctor,1,DR G LEES AND PARTNERS,K R COOPER AND PARTNERS,DR R KAPUR AND PARTNERS,17.252281,17.072886999999998,16.982843,7.0,4.0,6.0
898,DR G R TYRRELL AND PARTNERS,65,3595311.0,Named Doctor,1,DR G LEES AND PARTNERS,DR R KAPUR AND PARTNERS,DR G S RANDHAWA AND PARTNER,17.252281,16.982843,15.527384,8.0,9.0,10.0
899,DR G R W THOMAS,29,701443.0,Named Doctor,1,DR G THOMAS PRACTICE,W R A G,G W THOMAS LIMITED,18.380215,18.342897,17.576535999999997,13.0,11.0,13.0
